205,729151.131,2489854.257,2644.914,CPAD END
206,729166.181,2489852.972,2644.470,CPAD BEG
207,729170.895,2489853.034,2644.303,CPAD END
208,729202.562,2489818.828,2643.877,CPAD BEG
209,729213.295,2489819.101,2644.336,CPAD
210,729213.376,2489814.048,2644.358,CPAD
211,729202.670,2489813.901,2643.874,CPAD CLO
212,729178.127,2489918.316,2644.225,CPAD BEG
213,729175.200,2489918.279,2644.300,CPAD END
214,729170.054,2489918.348,2644.756,CPAD BEG
215,729165.473,2489918.265,2644.822,CPAD END
216,729149.935,2489917.810,2644.179,CPAD BEG
217,729146.023,2489917.732,2643.803,CPAD END
218,729104.902,2489923.007,2644.392,CPAD BEG
219,729104.772,2489927.878,2644.479,CPAD
220,729100.331,2489927.833,2644.422,CPAD
221,729100.428,2489922.941,2644.306,CPAD CLO
222,729097.827,2489917.789,2643.860,CPAD BEG
223,729093.588,2489917.562,2643.646,CPAD
224,729093.467,2489931.772,2644.682,CPAD
225,729097.543,2489931.883,2644.273,CPAD CLO
226,729101.345,2489925.083,2645.189,TRANS
227,729092.588,2489964.984,2645.129,CPAD BEG
228,729092.586,2489968.952,2645.119,CPAD END
229,729088.480,2489978.153,2644.120,CPAD BEG
230,729084.505,2489978.146,2644.013,CPAD END
231,729057.610,2489978.011,2644.926,CPAD BEG
232,729053.696,2489977.947,2645.041,CPAD END
233,729038.561,2489920.170,2644.330,CPAD BEG
234,729036.985,2489924.279,2644.317,CPAD
235,729049.125,2489929.320,2644.828,CPAD
236,729050.456,2489929.402,2645.069,CPAD
237,729050.522,2489925.423,2645.027,CPAD
238,729049.198,2489925.373,2644.846,CPAD CLO
239,729030.724,2489895.961,2644.800,CPAD BEG
240,729048.380,2489896.199,2644.751,CPAD
241,729049.254,2489873.364,2644.746,CPAD
242,729031.002,2489872.876,2643.941,CPAD CLO
243,729001.871,2489928.703,2643.890,LP
244,728854.411,2489938.477,2644.677,LP
245,728876.577,2489777.284,2644.602,LP
246,729075.627,2489734.841,2643.987,LP
247,729090.816,2489732.405,2641.686,IRBOX BEG
248,729091.172,2489735.431,2641.893,IRBOX
249,729096.219,2489734.921,2641.660,IRBOX
